"282-0107","14100088","Labour force characteristics of immigrants by country of birth, three-month moving average, unadjusted for seasonality","Caractéristiques de la population active chez les immigrants selon le pays de naissance, moyennes mobiles de trois mois, données non désaisonnalisées","2006-03-01","2020-03-01","2","6","6"
"282-0128","14100095","Labour force characteristics by census metropolitan area, three-month moving average, unadjusted for seasonality","Caractéristiques de la population active selon la région métropolitaine de recensement, moyennes mobiles de trois mois, données non désaisonnalisées","2001-03-01","2020-03-01","2","6","4"
"282-0134","14100102","Labour force characteristics by census agglomeration, annual","Caractéristiques de la population active selon les agglomérations de recensement, données annuelles","2001-01-01","2019-01-01","2","12","2"
"282-0140","14100108","Employment by class of worker and industry, annual, population centres and rural areas","Emploi selon la catégorie de travailleur et l'industrie, données annuelles, centres de population et régions rurales","2011-01-01","2019-01-01","2","12","4"
"282-0200","14100109","Weekly wage distributions by type of work, monthly, unadjusted for seasonality","Répartition des salaires hebdomadaires selon le genre de travail, données mensuelles non désaisonnalisées","1997-01-01","2020-03-01","2","6","5"
"282-0208","14100117","Labour force characteristics by educational degree, monthly, unadjusted for seasonality","Caractéristiques de la population active selon le diplôme scolaire, données mensuelles non désaisonnalisées","1990-01-01","2020-03-01","2","6","5"
"282-0210","14100119","Labour force characteristics by family age composition, monthly, unadjusted for seasonality","Caractéristiques de la population active selon la composition familiale et l'âge, données mensuelles non désaisonnalisées","1976-01-01","2020-03-01","2","6","4"
"282-0212","14100121","Hours lost by reason of absence, monthly, unadjusted for seasonality","Heures perdues selon la raison d'absence, données mensuelles non désaisonnalisées","1976-01-01","2020-03-01","2","6","4"
"282-0029","14100183","Labour force survey estimates (LFS), average days lost for personal reasons per full-time employee by North American Industry Classification System (NAICS), sex and age group","Enquête sur la population active (EPA), estimations moyennes des journées perdues pour des raisons personnelles par employé à temps plein selon le Système de classification des industries de l'Amérique du Nord (SCIAN), le sexe et le groupe d'âge","1987-01-01","2014-01-01","1","12","5"
"282-0006","14100286","Unemployment rate and employment rate by type of student during summer months, monthly, unadjusted for seasonality, last 5 months","Taux de chômage et taux d'emploi selon le genre d'étudiant au cours des mois d'été, données mensuelles non désaisonnalisées, 5 derniers mois","1977-05-01","2020-03-01","2","6","6"
"282-0122","14100293","Labour force characteristics by economic region, three-month moving average, unadjusted for seasonality, last 5 months","Caractéristiques de la population active selon la région économique, moyennes mobiles de trois mois, données non désaisonnalisées, 5 derniers mois","2001-03-01","2020-03-01","2","6","3"
"282-0163","14100318","Hourly wage distributions by occupation, annual","Répartition des salaires horaires selon la profession, données annuelles","1997-01-01","2019-01-01","2","12","5"
"282-0164","14100319","Union status by occupation","Situation syndicale selon la profession","1997-01-01","2019-01-01","2","12","3"
"282-0167","14100320","Average usual hours and wages by selected characteristics, monthly, unadjusted for seasonality, last 5 months","Heures habituelles et salaires moyens selon certaines caractéristiques, données mensuelles non désaisonnalisées, 5 derniers mois","2001-01-01","2020-03-01","2","6","3"
"282-0228","14100359","Labour force characteristics by Aboriginal group and educational attainment","Caractéristiques de la population active selon le groupe autochtone et le niveau de scolarité atteint","2007-01-01","2019-01-01","2","12","5"
"282-0166","14100363","Employment by Aboriginal group and occupation, selected provinces and regions","Emploi selon le groupe autochtone et la profession, certaines provinces et régions","2007-01-01","2019-01-01","2","12","4"
"282-0226","14100364","Labour force characteristics by province, region and Aboriginal group","Caractéristiques de la population active selon la province, la région et le groupe autochtone","2007-01-01","2019-01-01","2","12","5"
"282-0229","14100366","Employment by Aboriginal group and industry","Emploi selon le groupe autochtone et l'industrie","2007-01-01","2019-01-01","2","12","5"
"282-0233","14100370","Average hourly and weekly wages and average usual weekly hours by Aboriginal group","Salaires horaire et hebdomadaire moyens et heures habituelles hebdomadaires moyennes selon le groupe autochtone","2007-01-01","2019-01-01","2","12","4"
